"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-constraint-fixed-num"
"10/03/2022 01:54:19:291 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","max-angle","num","rw-type","world-size","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"153","180","100","constraint","35","1893","9.233848017534013","1.0064619523786842","1893","253","100","1893"
"155","180","100","constraint","36","1945","8.942396829093495","1","1945","295","100","1945"
"154","180","100","constraint","35","1957","8.59515597097557","1.308960393625087","1957","247","100","1957"
"156","180","100","constraint","36","1870","8.19456579734572","1","1870","242","100","1870"
"157","180","100","constraint","37","2028","8.823790689327788","1","2028","237","100","2028"
"159","180","100","constraint","38","2136","8.893768997964033","1","2136","300","100","2136"
"158","180","100","constraint","37","2907","8.56668094720026","1.0630904296946397","2907","300","100","2907"
"160","180","100","constraint","38","2840","8.682677518800688","1.1392755869497115","2840","319","100","2840"
"161","180","100","constraint","39","2042","8.992721043588828","1.3142679459555922","2042","259","100","2042"
"162","180","100","constraint","39","2256","9.166176518851227","1.2318216947017788","2256","332","100","2256"
"163","180","100","constraint","40","2033","8.830556189867039","1.449997037979191","2033","352","100","2033"
"164","180","100","constraint","40","2302","8.581993627757512","1","2302","305","100","2302"
"166","180","100","constraint","41","2415","8.807710655234256","1.0859569304340937","2415","345","100","2415"
"165","180","100","constraint","41","2460","9.582285231558455","1","2460","337","100","2460"
"167","180","100","constraint","42","3256","9.311653997759478","1.5429501804994459","3256","355","100","3256"
"168","180","100","constraint","42","2932","8.87752772010918","2.1263080920259334","2932","379","100","2932"
"169","180","100","constraint","43","2575","8.633860002776425","1","2575","400","100","2575"
"170","180","100","constraint","43","3433","9.158117654334735","0.9999999999999999","3433","462","100","3433"
"171","180","100","constraint","44","2859","9.233773338884257","2.7436454642271677","2859","394","100","2859"
"173","180","100","constraint","45","2875","9.11460244057197","1","2875","344","100","2875"
"172","180","100","constraint","44","3864","9.16117429853164","1.827117079538457","3864","512","100","3864"
"174","180","100","constraint","45","3388","8.979587241606682","1.1474704229164239","3388","490","100","3388"
"175","180","100","constraint","46","3544","9.087124454251176","1.646049323405819","3544","576","100","3544"
"177","180","100","constraint","47","2910","8.704333369260192","1.3622558338397965","2910","417","100","2910"
"176","180","100","constraint","46","3513","8.965508401797228","1.7785533333006178","3513","540","100","3513"
"178","180","100","constraint","47","4076","8.534965535203504","1.607875906232218","4076","455","100","4076"
"179","180","100","constraint","48","3792","8.697782233137607","1.4113042518097139","3792","405","100","3792"
"181","180","100","constraint","49","3381","9.084309332200533","1.798738732695135","3381","525","100","3381"
"180","180","100","constraint","48","4028","8.769599593160489","1.3235594961756298","4028","519","100","4028"
"182","180","100","constraint","49","3479","9.151265524044954","1","3479","358","100","3479"
"183","180","100","constraint","50","3837","8.72305566636874","1","3837","450","100","3837"
"184","180","100","constraint","50","4145","8.602123758145206","1.3724687662321173","4145","704","100","4145"
"185","180","100","constraint","51","4149","8.739310665812578","2.111943569836246","4149","690","100","4149"
"186","180","100","constraint","51","3435","8.913120682073687","2.210960719112201","3435","588","100","3435"
"187","180","100","constraint","52","5022","8.93285798201574","1.5484625980250755","5022","476","100","5022"
"188","180","100","constraint","52","4665","8.912381190087151","1.3252454097226654","4665","471","100","4665"
"189","180","100","constraint","53","4818","8.593717689294463","1","4818","568","100","4818"
"191","180","100","constraint","54","4618","8.835420267492399","1.3899626138263521","4618","758","100","4618"
"190","180","100","constraint","53","6199","8.67150972374642","1.0560626676654508","6199","588","100","6199"
"192","180","100","constraint","54","4811","8.86892360207153","1.894146464256199","4811","763","100","4811"
"193","180","100","constraint","55","4939","8.83643237944233","2.765086121367183","4939","761","100","4939"
"194","180","100","constraint","55","4700","8.846241634349933","1.2943933794427345","4700","429","100","4700"
"195","180","100","constraint","56","4138","8.791254874847336","1.2343770653370179","4138","468","100","4138"
"196","180","100","constraint","56","5849","8.717530776763233","1.6555781910340066","5849","571","100","5849"
"197","180","100","constraint","57","5086","8.839211342112243","1.640699340572528","5086","673","100","5086"
"198","180","100","constraint","57","5458","9.063436639109417","1.2984525417326722","5458","624","100","5458"
"199","180","100","constraint","58","5368","8.90404828697657","1.0986671162792447","5368","833","100","5368"
"200","180","100","constraint","58","5293","9.456589907828802","1.416278489753914","5293","849","100","5293"
"201","180","100","constraint","59","6444","9.029800016219468","1.3476399322930277","6444","908","100","6444"
"205","360","100","constraint","10","92","10.345057751352376","1","92","26","100","92"
"206","360","100","constraint","10","80","8.706004765321572","1","80","17","100","80"
"207","360","100","constraint","11","146","7.844297428186443","1","146","17","100","146"
"208","360","100","constraint","11","115","7.916145308467447","1","115","20","100","115"
"209","360","100","constraint","12","223","8.328576839462004","1","223","39","100","223"
"210","360","100","constraint","12","177","9.018523182489357","1","177","22","100","177"
"211","360","100","constraint","13","209","8.953958917474562","1","209","28","100","209"
"212","360","100","constraint","13","186","8.031113033401214","1","186","51","100","186"
"213","360","100","constraint","14","233","8.394602332774866","1","233","35","100","233"
"214","360","100","constraint","14","279","9.863348618967862","0.9999999999999999","279","36","100","279"
"215","360","100","constraint","15","268","9.385926616417665","1","268","58","100","268"
"216","360","100","constraint","15","264","8.899939617694436","1","264","57","100","264"
"217","360","100","constraint","16","312","7.840040275574524","1","312","48","100","312"
"218","360","100","constraint","16","299","8.204166154055622","1","299","52","100","299"
"219","360","100","constraint","17","369","8.524051883699858","1","369","47","100","369"
"220","360","100","constraint","17","410","9.415691051348462","1","410","50","100","410"
"221","360","100","constraint","18","367","9.510408022802366","1.0383777234851426","367","90","100","367"
"222","360","100","constraint","18","455","8.543815277896526","1","455","58","100","455"
"223","360","100","constraint","19","431","9.527614455472705","1","431","77","100","431"
"224","360","100","constraint","19","362","9.208642970182757","1","362","93","100","362"
"202","180","100","constraint","59","7081","8.840861750413824","1","7081","837","100","7081"
"225","360","100","constraint","20","533","9.148526912433832","1","533","119","100","533"
"226","360","100","constraint","20","542","9.253784612776666","1","542","56","100","542"
"203","180","100","constraint","60","5941","8.908327656879871","1.855789221008969","5941","614","100","5941"
"227","360","100","constraint","21","726","8.770252119718888","1","726","95","100","726"
"228","360","100","constraint","21","531","10.054357076464214","1","531","83","100","531"
"229","360","100","constraint","22","821","8.8903107560499","1","821","101","100","821"
"230","360","100","constraint","22","525","9.289775690756178","1","525","101","100","525"
"204","180","100","constraint","60","6310","8.866269084882587","2.225564253920691","6310","747","100","6310"
"231","360","100","constraint","23","942","8.560911549399004","1","942","127","100","942"
"232","360","100","constraint","23","612","8.742235259677209","1.5415859553045834","612","141","100","612"
"233","360","100","constraint","24","876","9.503218987652582","1","876","141","100","876"
"234","360","100","constraint","24","933","9.069921003777038","1.1100184724541418","933","100","100","933"
"235","360","100","constraint","25","906","8.578312718486705","1","906","120","100","906"
"236","360","100","constraint","25","815","9.107817108513517","1","815","139","100","815"
"237","360","100","constraint","26","906","9.366852049727383","1","906","142","100","906"
"238","360","100","constraint","26","954","8.902547269079207","2.007365884977645","954","144","100","954"
"239","360","100","constraint","27","975","8.997785441580307","1","975","124","100","975"
"240","360","100","constraint","27","839","9.417089631524902","1.7432028453140145","839","210","100","839"
"241","360","100","constraint","28","1112","9.19886169460625","1","1112","139","100","1112"
"242","360","100","constraint","28","1024","8.85405071754134","1","1024","234","100","1024"
"244","360","100","constraint","29","1061","9.452258031929064","1","1061","159","100","1061"
"243","360","100","constraint","29","1362","9.34678899778862","1.2161063733317583","1362","164","100","1362"
"245","360","100","constraint","30","1141","8.639975093751032","1","1141","185","100","1141"
"246","360","100","constraint","30","1128","8.934502858970262","1.3321484480784864","1128","131","100","1128"
"247","360","100","constraint","31","1289","8.701288582998671","1.1706962875818494","1289","185","100","1289"
"248","360","100","constraint","31","1493","9.230028939184468","1.0000000000000002","1493","206","100","1493"
"250","360","100","constraint","32","1406","9.318442989316969","1.8523702659057353","1406","267","100","1406"
"249","360","100","constraint","32","1511","8.820134915293858","1.340781748105428","1511","206","100","1511"
"251","360","100","constraint","33","1578","8.814460158340681","1.189672939785197","1578","306","100","1578"
"252","360","100","constraint","33","1864","9.008160706383737","1","1864","258","100","1864"
"253","360","100","constraint","34","1820","8.290180357499901","1","1820","184","100","1820"
"254","360","100","constraint","34","1918","8.864049963602206","1","1918","224","100","1918"
"255","360","100","constraint","35","1935","9.157178647966816","1","1935","297","100","1935"
"256","360","100","constraint","35","1941","9.165079217200494","1","1941","182","100","1941"
"258","360","100","constraint","36","2029","8.716905753979557","1","2029","320","100","2029"
"257","360","100","constraint","36","2377","8.531516856520579","1","2377","211","100","2377"
"260","360","100","constraint","37","1677","8.701314204218548","1.117245961022899","1677","275","100","1677"
"259","360","100","constraint","37","2486","8.987723340918965","2.3371237634459465","2486","396","100","2486"
"262","360","100","constraint","38","1911","8.676434790329713","1.259732206991245","1911","396","100","1911"
"261","360","100","constraint","38","2771","8.386508144232945","1","2771","228","100","2771"
"263","360","100","constraint","39","2435","8.793918146917475","1.1853455533704906","2435","319","100","2435"
"264","360","100","constraint","39","2206","8.749382475863753","1","2206","267","100","2206"
"265","360","100","constraint","40","2307","9.130919721769075","1","2307","342","100","2307"
"266","360","100","constraint","40","2140","8.949282428991303","1","2140","261","100","2140"
"267","360","100","constraint","41","2551","8.767379674361719","1","2551","341","100","2551"
"268","360","100","constraint","41","2309","8.652761736341555","1.7945846480569383","2309","370","100","2309"
"269","360","100","constraint","42","2499","8.63972585603997","1","2499","462","100","2499"
"270","360","100","constraint","42","2736","8.908942362667242","2.458768453422792","2736","530","100","2736"
"273","360","100","constraint","44","2659","8.978384176401615","1.467461344229383","2659","345","100","2659"
"271","360","100","constraint","43","3389","9.06881203807645","2.27702905277933","3389","483","100","3389"
"272","360","100","constraint","43","2811","8.881164892653418","1","2811","448","100","2811"
"274","360","100","constraint","44","3129","8.947266955314182","1","3129","372","100","3129"
"275","360","100","constraint","45","2321","9.033538373673315","1.0853828875588505","2321","455","100","2321"
"277","360","100","constraint","46","2755","8.651026340800655","1.692797043761015","2755","353","100","2755"
"276","360","100","constraint","45","3538","8.978334634811361","1.6191595217261714","3538","535","100","3538"
"278","360","100","constraint","46","2720","8.92046183473025","1.1048209716245392","2720","404","100","2720"
"279","360","100","constraint","47","3239","8.431706809642613","1.7596136865299066","3239","599","100","3239"
"280","360","100","constraint","47","2978","8.61496473606064","1","2978","331","100","2978"
"281","360","100","constraint","48","3397","8.968165547219446","1","3397","404","100","3397"
"282","360","100","constraint","48","3785","8.560155514175454","1","3785","389","100","3785"
"284","360","100","constraint","49","3421","8.549362252668578","1.0636188376462066","3421","351","100","3421"
"285","360","100","constraint","50","3839","8.868385154267537","1.3897000836850886","3839","429","100","3839"
"283","360","100","constraint","49","5978","8.73762969429863","1.5565084661686868","5978","438","100","5978"
"286","360","100","constraint","50","4508","8.707870259407631","2.9149693664037954","4508","432","100","4508"
"287","360","100","constraint","51","3428","8.766533158575394","1.8898639305121705","3428","527","100","3428"
"288","360","100","constraint","51","4891","8.741347674859352","2.1930708774115573","4891","678","100","4891"
"290","360","100","constraint","52","3737","8.840537871129579","1.0663955675648715","3737","679","100","3737"
"289","360","100","constraint","52","4961","8.25493574616313","1.3282539223003553","4961","506","100","4961"
"291","360","100","constraint","53","4275","9.005489475066193","1.838401559568421","4275","701","100","4275"
"292","360","100","constraint","53","4459","8.597117961328289","3.5291756560442096","4459","822","100","4459"
"293","360","100","constraint","54","4655","9.159710418412276","2.084870534423036","4655","565","100","4655"
"294","360","100","constraint","54","5120","8.697769872411975","1.3338052813871535","5120","972","100","5120"
"295","360","100","constraint","55","4526","9.004627617469087","1.486387236087431","4526","636","100","4526"
"296","360","100","constraint","55","4239","8.955449963678282","1","4239","290","100","4239"
"297","360","100","constraint","56","5194","8.923058591135739","2.2791456711547866","5194","559","100","5194"
"298","360","100","constraint","56","5106","8.933676405086274","2.1627196433728777","5106","617","100","5106"
"299","360","100","constraint","57","4968","8.818250939280547","1.5938588222954913","4968","1063","100","4968"
"301","360","100","constraint","58","4675","8.901899307856976","1.5581890457000611","4675","851","100","4675"
"300","360","100","constraint","57","7633","8.835098522155647","1.731984605361557","7633","485","100","7633"
"302","360","100","constraint","58","6192","8.62715749530021","1.7898480959608314","6192","528","100","6192"
"303","360","100","constraint","59","5593","8.90464258395998","2.248467189538161","5593","896","100","5593"
"304","360","100","constraint","59","5261","8.886608084309199","1.3432490489932363","5261","878","100","5261"
"306","360","100","constraint","60","5722","8.492206846834932","1.5482480380606987","5722","660","100","5722"
"305","360","100","constraint","60","7091","8.711821905100786","3.404307874189186","7091","722","100","7091"
