"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-deterministic-fixed-step-size"
"10/03/2022 14:39:12:344 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","step-size","r","rw-type","num","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"140","1","1","deterministic","68","2316","6.888322746646573","35.62161456516836","2316","332","100","2316"
"138","1","1","deterministic","67","3137","5.372432650256962","8.328244570971487","3137","77","100","3137"
"141","1","1","deterministic","69","1988","7.488443093086937","9.881143302828152","1988","96","100","1988"
"142","1","1","deterministic","69","2347","3.5809161681371546","12.452349473940796","2347","81","100","2347"
"143","1","1","deterministic","70","2273","9.07861205832952","27.916955490111313","2273","265","100","2273"
"145","1","1","deterministic","71","1825","4.25522448382815","7.124543981540413","1825","69","100","1825"
"144","1","1","deterministic","70","2859","6.359769884993074","27.01095145610068","2859","249","100","2859"
"146","1","1","deterministic","71","2413","10.600405864278788","8.35570513680362","2413","73","100","2413"
"147","1","1","deterministic","72","2402","4.544018223900013","8.318457637916461","2402","63","100","2402"
"149","1","1","deterministic","73","2327","12.12604652640202","7.854565889799707","2327","78","100","2327"
"148","1","1","deterministic","72","2509","3.989128246787647","7.8455284101193055","2509","77","100","2509"
"150","1","1","deterministic","73","1973","5.351179757259887","7.215003133684718","1973","72","100","1973"
"151","1","1","deterministic","74","2303","4.0910656923522986","7.866839190965113","2303","75","100","2303"
"153","1","1","deterministic","75","1736","6.9198443811137285","9.78729499769122","1736","72","100","1736"
"152","1","1","deterministic","74","1972","5.20310013562028","8.503138920865732","1972","69","100","1972"
"155","1","1","deterministic","76","2068","3.705742547535487","8.522491167966237","2068","79","100","2068"
"154","1","1","deterministic","75","2200","3.4045558916464183","30.117232066787068","2200","285","100","2200"
"157","1","1","deterministic","77","1844","9.228557642488143","8.637519418701197","1844","63","100","1844"
"156","1","1","deterministic","76","2133","6.96999383180484","7.49590712609303","2133","80","100","2133"
"158","1","1","deterministic","77","2218","14.498866346145753","30.462323933008243","2218","287","100","2218"
"160","1","1","deterministic","78","2053","3.4535053655021066","7.261748125741015","2053","67","100","2053"
"159","1","1","deterministic","78","2366","8.19037972333068","29.589374490821655","2366","282","100","2366"
