"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-deterministic-fixed-num"
"10/03/2022 22:56:33:974 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","step-size","r","rw-type","num","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"130","1.21","1","deterministic","100","1515","5.250619794050528","8.225642426017641","1515","53","100","1515"
"126","1.2","3.82","deterministic","100","6933","10.58630748354199","13.144719328239738","6933","1146","100","6933"
"125","1.2","3.82","deterministic","100","8328","11.378176582914772","15.37705221431943","8328","1311","100","8328"
"133","1.22","0","deterministic","100","1575","9.643779557200562","51.32759205906385","1575","49","100","1575"
"134","1.22","0","deterministic","100","1614","21.92020619323372","51.32759205906386","1614","49","100","1614"
"135","1.22","1","deterministic","100","1515","11.523655658907563","9.03707184427482","1515","51","100","1515"
"136","1.22","1","deterministic","100","1636","6.195537711295433","10.456920748629772","1636","63","100","1636"
"132","1.21","3.82","deterministic","100","7082","10.610837893906407","17.909485616374813","7082","1632","100","7082"
"139","1.23","0","deterministic","100","1477","19.058689176785805","51.748310026761125","1477","49","100","1477"
"131","1.21","3.82","deterministic","100","9856","10.168607877673228","18.01984076042994","9856","1411","100","9856"
"140","1.23","0","deterministic","100","1833","14.230706447264916","51.74831002676113","1833","49","100","1833"
"141","1.23","1","deterministic","100","1560","2.695476361883969","25.842331423698898","1560","208","100","1560"
"137","1.22","3.82","deterministic","100","8177","10.631810596255509","14.35062963538909","8177","987","100","8177"
"138","1.22","3.82","deterministic","100","7280","11.163492897270809","15.325663166000336","7280","1357","100","7280"
"142","1.23","1","deterministic","100","1541","11.949170774748135","24.39056281500786","1541","201","100","1541"
"145","1.24","0","deterministic","100","1791","9.5719756238499","51.01898829550269","1791","48","100","1791"
"146","1.24","0","deterministic","100","1799","3.1321686237106263","51.018988295502695","1799","48","100","1799"
"147","1.24","1","deterministic","100","1524","14.670434841330712","6.957900931277354","1524","50","100","1524"
"148","1.24","1","deterministic","100","1429","5.256290308517626","6.760281307942428","1429","55","100","1429"
"143","1.23","3.82","deterministic","100","7253","10.46528760015302","16.554713844342277","7253","1196","100","7253"
"151","1.25","0","deterministic","100","1792","15.507500098336472","51.43043174949871","1792","48","100","1792"
"144","1.23","3.82","deterministic","100","8776","11.410858166804005","12.102214168125919","8776","1069","100","8776"
"152","1.25","0","deterministic","100","1721","14.034348991703839","51.43043174949868","1721","48","100","1721"
"153","1.25","1","deterministic","100","2514","9.480371684865007","5.782859119519024","2514","50","100","2514"
"154","1.25","1","deterministic","100","1564","10.373943197333405","7.69674439007909","1564","50","100","1564"
"150","1.24","3.82","deterministic","100","7803","10.609488869028347","19.701350387241963","7803","1585","100","7803"
"149","1.24","3.82","deterministic","100","8675","10.588187405673073","15.788587340969777","8675","991","100","8675"
"157","1.26","0","deterministic","100","1782","10.362362313454478","51.841875203494666","1782","48","100","1782"
"158","1.26","0","deterministic","100","1476","6.591086839725865","51.84187520349468","1476","48","100","1476"
"159","1.26","1","deterministic","100","1387","7.010447482846125","8.093348078727729","1387","49","100","1387"
"160","1.26","1","deterministic","100","1814","8.34261374528928","29.9362688493747","1814","233","100","1814"
"155","1.25","3.82","deterministic","100","7860","11.143037898160653","18.205783929004294","7860","1524","100","7860"
"156","1.25","3.82","deterministic","100","7714","11.042988228202274","15.052709576196474","7714","1071","100","7714"
"164","1.27","0","deterministic","100","1616","16.557949617333755","51.0764409214309","1616","47","100","1616"
"163","1.27","0","deterministic","100","2946","18.835323438870944","51.07644092143091","2946","47","100","2946"
"165","1.27","1","deterministic","100","1444","18.399083575722567","26.400733879268277","1444","207","100","1444"
"166","1.27","1","deterministic","100","1427","12.358080933142565","10.371812979541724","1427","64","100","1427"
"162","1.26","3.82","deterministic","100","7171","11.622507785468802","14.480408498964827","7171","965","100","7171"
"161","1.26","3.82","deterministic","100","8471","12.13663965501292","18.452381435309302","8471","1350","100","8471"
